# zeta, rs_eq
6.633165829139094916e-01,4.846596525113206155e+00
6.683417085420452208e-01,4.856345182699624452e+00
6.733668341701808391e-01,4.866160886210900927e+00
6.783919597983165684e-01,4.876043621545228746e+00
6.834170854264521866e-01,4.885993379271711845e+00
6.884422110545879159e-01,4.896010154706397444e+00
6.934673366827235341e-01,4.906093947985051607e+00
6.984924623108592634e-01,4.916244764132237322e+00
7.035175879389948816e-01,4.926462613126090240e+00
7.085427135671306109e-01,4.936747509958316904e+00
7.135678391952663402e-01,4.947099474688864795e+00
7.185929648234019584e-01,4.957518532494471941e+00
7.236180904515376877e-01,4.968004713710269193e+00
7.286432160796733060e-01,4.978558053863835653e+00
7.336683417078090352e-01,4.989178593700414055e+00
7.386934673359446535e-01,4.999866379198405930e+00
7.437185929640803828e-01,5.010621461573878221e+00
7.487437185922160010e-01,5.021443897272616752e+00
7.537688442203517303e-01,5.032333747948271707e+00
7.587939698484873485e-01,5.043291080424768147e+00
7.638190954766230778e-01,5.054315966640938740e+00
7.688442211047586961e-01,5.065408483575177812e+00
7.738693467328944253e-01,5.076568713147469936e+00
7.788944723610301546e-01,5.087796742095739511e+00
7.839195979891657728e-01,5.099092661823304340e+00
7.889447236173015021e-01,5.110456568213381345e+00
7.939698492454371204e-01,5.121888561406162665e+00
7.989949748735728496e-01,5.133388745533419950e+00
8.040201005017084679e-01,5.144957228404419602e+00
8.090452261298441972e-01,5.156594121136424569e+00
8.140703517579798154e-01,5.168299537721530612e+00
8.190954773861155447e-01,5.180073594520439251e+00
8.241206030142511629e-01,5.191916409672094446e+00
8.291457286423868922e-01,5.203828102406088618e+00
8.341708542705225105e-01,5.215808792242457415e+00
8.391959798986582397e-01,5.227858598060483253e+00
8.442211055267939690e-01,5.239977637014888501e+00
8.492462311549295872e-01,5.252166023272993201e+00
8.542713567830653165e-01,5.264423866541659613e+00
8.592964824112009348e-01,5.276751270345764411e+00
8.643216080393366640e-01,5.289148330011906651e+00
8.693467336674722823e-01,5.301615130300545431e+00
8.743718592956080116e-01,5.314151742616457064e+00
8.793969849237436298e-01,5.326758221710540475e+00
8.844221105518793591e-01,5.339434601763963784e+00
8.894472361800149773e-01,5.352180891717281952e+00
8.944723618081507066e-01,5.364997069669143137e+00
8.994974874362863249e-01,5.377883076119576167e+00
9.045226130644220541e-01,5.390838805764855302e+00
9.095477386925577834e-01,5.403864097458908056e+00
9.145728643206934017e-01,5.416958721828290635e+00
9.195979899488291309e-01,5.430122365847492638e+00
9.246231155769647492e-01,5.443354613423529109e+00
9.296482412051004784e-01,5.456654920661213382e+00
9.346733668332360967e-01,5.470022583917307557e+00
9.396984924613718260e-01,5.483456697888274611e+00
9.447236180895074442e-01,5.496956099616848057e+00
9.497487437176431735e-01,5.510519292090350518e+00
9.547738693457787917e-01,5.524144337365521906e+00
9.597989949739145210e-01,5.537828702554067561e+00
9.648241206020502503e-01,5.551569029713798287e+00
9.698492462301858685e-01,5.565360776285937838e+00
9.748743718583215978e-01,5.579197620187295037e+00
9.798994974864572161e-01,5.593070398149290412e+00
9.849246231145929453e-01,5.606965000328577808e+00
9.899497487427285636e-01,5.620857473114098113e+00
9.949748743708642928e-01,5.634698937234977834e+00
9.999999999990000221e-01,5.648302598139916419e+00
