rs, c0, c1, c2 
1, 0.010683978794701387, 2.9635626619554376, 0.8985546654075683
2, 0.008707821518102996, 2.53164485951728, 0.8735860421477712
3, 0.007367024600545434, 2.6245439048933226, 0.9196500663667784
4, 0.004911680718607445, 3.1360257065188035, 1.0487241168736041
5, 0.003401204118276977, 3.5145156454897406, 1.1244408430058093
