q/kF, G+, G+ error
1.01, 0.25, 0.01
1.08, 0.28, 0.02
1.51, 0.64, 0.02
1.61, 0.77, 0.01
1.81, 0.84, 0.01
2.01, 0.90, 0.07
2.15, 0.99, 0.05
2.42, 1.04, 0.12
2.69, 1.09, 0.10
3.02, 1.18, 0.09
3.63, 1.19, 0.09
