q/kF,G-,G- error
0.078125,0.001046,0.000025
0.15625,0.004173,0.000097
0.234375,0.009465,0.000241
0.312499,0.016747,0.000367
0.390625,0.026298,0.000622
0.46875,0.038072,0.000895
0.546875,0.052062,0.001211
0.625,0.0684,0.001594
0.703125,0.087081,0.001964
0.78125,0.10836,0.002295
0.859375,0.131832,0.002647
0.9375,0.158533,0.003309
1.015625,0.187587,0.003867
1.09375,0.22018,0.004424
1.171878,0.255992,0.005593
1.249996,0.294344,0.006072
1.328124,0.336054,0.007043
1.406252,0.37976,0.00699
1.48438,0.428575,0.008439
1.562497,0.478826,0.008602
1.640625,0.532242,0.009675
1.718753,0.583928,0.009569
1.796871,0.63554,0.010205
1.874999,0.676503,0.012609
1.953127,0.688599,0.012681
2.031255,0.646261,0.01755
2.109373,0.592346,0.025632
2.187501,0.575164,0.043512
2.265629,0.515984,0.032128
2.343746,0.507537,0.054094
