q/kF,G-,G- error
0.078125,0.000917,0.000039
0.15625,0.003664,0.000152
0.234375,0.00828,0.00036
0.312499,0.014845,0.000675
0.390624,0.02315,0.000886
0.468749,0.033599,0.001497
0.546876,0.045858,0.002078
0.625001,0.060207,0.002601
0.703125,0.076548,0.003265
0.78125,0.095096,0.00412
0.859375,0.115908,0.004911
0.9375,0.138214,0.005527
1.015625,0.163407,0.006146
1.09375,0.191739,0.007405
1.171875,0.221228,0.008017
1.25,0.254981,0.009057
1.328124,0.287466,0.008668
1.406249,0.326253,0.011591
1.484376,0.36713,0.013791
1.562501,0.404303,0.018598
1.640625,0.444271,0.011642
1.718753,0.489474,0.017505
1.796881,0.525395,0.019372
1.874994,0.56241,0.02994
1.953122,0.57367,0.034309
2.03125,0.552461,0.039957
2.109378,0.527048,0.065448
2.187506,0.477095,0.046919
2.265618,0.435919,0.049948
2.343746,0.419418,0.067246
