q/kF, G+, G+ error
1.01, 0.30, 0.02
1.08, 0.30, 0.01
1.51, 0.67, 0.02
1.61, 0.76, 0.01
1.81, 0.88, 0.02
2.01, 1.09, 0.06
2.15, 1.09, 0.04
2.42, 1.28, 0.02
2.51, 1.33, 0.03
2.69, 1.34, 0.04
3.02, 1.44, 0.04
3.63, 1.39, 0.03
4.23, 1.99, 0.12
