# q/kF, Gs(q) RA, Ga(q) RA, Gn(q) RA, G+(q) RA, G-(q) RA,G+ ALDA, G+(q) Corradini, G+(q) rMCP07
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.812499999999998612e-02,1.775227921456880732e-03,1.201193496939564724e-03,-1.406246677552135376e-04,1.634603253701667194e-03,1.060568829184351186e-03,1.634131632121579294e-03,1.635982036630706732e-03,1.633292798622302784e-03
1.562499999999999722e-01,7.108145478051206868e-03,4.812120382168110985e-03,-5.640665035540887292e-04,6.544078974497118464e-03,4.248053878614022581e-03,6.536526528486317177e-03,6.565831976589718219e-03,6.523128915479200693e-03
2.343750000000000000e-01,1.602053885907437497e-02,1.085493128278108670e-02,-1.275000310724747673e-03,1.474553854834962686e-02,9.579930972056338589e-03,1.470718468909421733e-02,1.485302271605196123e-02,1.463956243978797693e-02
3.124999999999999445e-01,2.854904401771350686e-02,1.936691315662371696e-02,-2.281118895005024468e-03,2.626792512270848326e-02,1.708579426161869336e-02,2.614610611394526871e-02,2.659599938004649639e-02,2.593330384094743798e-02
3.906250000000000000e-01,4.474577360769274592e-02,3.040103174937778055e-02,-3.592974999749164178e-03,4.115279860794358174e-02,2.680805674962861637e-02,4.085329080303950339e-02,4.191758162365901569e-02,4.033670262188301242e-02
4.687500000000000000e-01,6.467942813941296443e-02,4.402665478478440253e-02,-5.223738886960140222e-03,5.945568925245282160e-02,3.880291589782425971e-02,5.882873875637686933e-02,6.095096011393129343e-02,5.776519847418608300e-02
5.468750000000000000e-01,8.843701893929294122e-02,6.033038646657194748e-02,-7.188849034823703577e-03,8.124816990446923071e-02,5.314153743174824390e-02,8.007244997395740471e-02,8.382311150073321060e-02,7.811925105274312997e-02
6.249999999999998890e-01,1.161262039862742262e-01,7.941687166145494636e-02,-9.505524976997858921e-03,1.066206790092763673e-01,6.991134668445708744e-02,1.045844244557810748e-01,1.106366617616740822e-01,1.012866756307729821e-01
7.031250000000000000e-01,1.478779666609206511e-01,1.014093072619115660e-01,-1.219210136655353091e-02,1.356858652943671306e-01,8.921720589535803159e-02,1.323646622018479491e-01,1.414513884011374678e-01,1.271451832181997865e-01
7.812500000000000000e-01,1.838488915312171956e-01,1.264492062407492068e-01,-1.526713063439119958e-02,1.685817608968259995e-01,1.111820756063580107e-01,1.634131632121580135e-01,1.762666444875048977e-01,1.555647678973876291e-01
8.593750000000000000e-01,2.242215300324311433e-01,1.546946660603960022e-01,-1.874818796957210265e-02,2.054733420628590546e-01,1.359464780908238857e-01,1.977299274867111434e-01,2.150059923099295611e-01,1.864094429527842767e-01
9.375000000000000000e-01,2.692002015395111303e-01,1.863159568813256006e-01,-2.265029684818491845e-02,2.465499046913262049e-01,1.636656600331406752e-01,2.353149550255074773e-01,2.575052402347520197e-01,2.195377647060619553e-01
1.015625000000000000e+00,3.189979385683073265e-01,2.214866174955405220e-01,-2.698387646495389175e-02,2.920140621033534556e-01,1.945027410305866233e-01,2.761682458285469322e-01,3.035048832451454071e-01,2.548016701606169998e-01
1.093750000000000000e+00,3.738081176743171530e-01,2.603673799898705843e-01,-3.175209536979049785e-02,3.420560223045266413e-01,2.286152846200800726e-01,3.202897998958296188e-01,3.526476678561091815e-01,2.920434394428408353e-01
1.171875000000000000e+00,4.337518096714806926e-01,3.030791183641824982e-01,-3.694750070426475880e-02,3.968043089672159129e-01,2.661316176599177186e-01,3.676796172273554819e-01,4.044816583343907035e-01,3.310910613091838650e-01
1.249999999999999778e+00,4.987898116125085712e-01,3.496597072144740914e-01,-4.254778372378877765e-02,4.562420278887198144e-01,3.071119234906853346e-01,4.183376978231242993e-01,4.584688034266513612e-01,3.717528248187112472e-01
1.328125000000000000e+00,5.685886718037754806e-01,3.999984916799210199e-01,-4.851054633591857235e-02,5.200781254678569221e-01,3.514879453440024615e-01,4.722640416831364596e-01,5.139986243292983259e-01,4.138124024002575174e-01
1.406250000000000000e+00,6.423367304430620539e-01,4.537417951021803786e-01,-5.476696013608722824e-02,5.875697703069748812e-01,3.989748349660931503e-01,5.294586488073917963e-01,5.704062977581231264e-01,4.570258395838059928e-01
1.484375000000000000e+00,7.185252849559088384e-01,5.101651544950811523e-01,-6.121427305138069097e-02,6.573110119045281197e-01,4.489508814437004336e-01,5.899215191958903093e-01,6.269941206485546425e-01,5.011216201030939121e-01
1.562500000000000000e+00,7.947469136664814249e-01,5.680155905797534821e-01,-6.770723791426770666e-02,7.270396757522137321e-01,5.003083526654857893e-01,6.536526528486320542e-01,6.830551362609718069e-01,5.458043788447343170e-01
