# q/kF, Gs(q) RA, Ga(q) RA, Gn(q) RA, G+(q) RA, G-(q) RA,G+ ALDA, G+(q) Corradini, G+(q) rMCP07
1.640625000000000000e+00,8.676141900455183187e-01,6.253439847738871959e-01,-7.404873428529558377e-02,7.935654557602227488e-01,5.512952504885916261e-01,7.206520497656165869e-01,7.378975879205799115e-01,5.907620779677750233e-01
1.718750000000000000e+00,9.329407422769746550e-01,6.793763444442532107e-01,-7.998015160209948071e-02,8.529605906748751742e-01,5.993961928421537300e-01,7.909197099468445735e-01,7.908688501473049026e-01,6.356757875146589187e-01
1.796875000000000000e+00,9.862969710246746180e-01,7.265097098114601248e-01,-8.517251172681930549e-02,9.011244592978553403e-01,6.413371980846408471e-01,8.644556333923157920e-01,8.413775631125401944e-01,6.802308095730086324e-01
1.875000000000000000e+00,1.023903089793601451e+00,7.625446694542072912e-01,-8.921982249162140055e-02,9.346832673019800364e-01,6.733248469625858768e-01,9.412598201020299093e-01,8.889128537096531169e-01,7.241278182094545990e-01
1.953125000000000000e+00,1.043587618104582893e+00,7.832428261628009425e-01,-9.163671641288095859e-02,9.519509016917019339e-01,6.916061097499199839e-01,1.021332270075987259e+00,9.330597481617941558e-01,7.670928971052082268e-01
2.031250000000000000e+00,1.045389299636119373e+00,7.851830850945035190e-01,-9.186291599560533760e-02,9.535263836405140081e-01,6.933201690988981536e-01,1.104672983314187729e+00,9.735101466648230506e-01,8.088857170665652019e-01
2.109375000000000000e+00,1.031496174301388846e+00,7.666963947179130656e-01,-8.927726722573280094e-02,9.422189070756560314e-01,6.774191274921802508e-01,1.191281959816631542e+00,1.010069018240974614e+00,8.493054787416135509e-01
2.187500000000000000e+00,1.005563428824207461e+00,7.284988691530888127e-01,-8.322370805767206892e-02,9.223397207665353648e-01,6.452751610954167161e-01,1.281159199583318475e+00,1.042655762305989553e+00,8.881945649158450307e-01
2.265625000000000000e+00,9.717617533926742324e-01,6.736854211532247172e-01,-7.305029288300426971e-02,8.987114605096699904e-01,6.006351282702204752e-01,1.374304702614248752e+00,1.071300952967660258e+00,9.254400654523047276e-01
2.343750000000000000e+00,9.339540027322212890e-01,6.070350739330873102e-01,-5.816011617079994145e-02,8.757938865614213197e-01,5.488749577622873410e-01,1.470718468909421928e+00,1.096138916574156408e+00,9.609734590833404200e-01
2.421875000000000000e+00,8.952158184454813705e-01,5.339279833328099967e-01,-3.806984036117840031e-02,8.571459780843029286e-01,4.958581429716316102e-01,1.570400498468838224e+00,1.117396780431721304e+00,9.947687827839980512e-01
2.499999999999999556e+00,8.576994761021274893e-01,4.593201708451263299e-01,-1.246819968536151853e-02,8.452312764167659864e-01,4.468519711597648270e-01,1.673350791292497197e+00,1.135380763385775538e+00,1.026839618701885559e+00
