# q/kF, Gs(q) RA, Ga(q) RA, Gn(q) RA, G+(q) RA, G-(q) RA,G+ ALDA, G+(q) Corradini, G+(q) rMCP07
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.812500000000000000e-02,1.831847666022475398e-03,1.097272745008513045e-03,-1.561431542279808629e-04,1.675704511794494454e-03,9.411295907805322094e-04,1.675227574015101346e-03,1.676397245905495662e-03,1.674485046196295349e-03
1.562500000000000000e-01,7.334855220293432301e-03,4.395801777608636732e-03,-6.263078370523306529e-04,6.708547383241101648e-03,3.769493940556306079e-03,6.700910296060405384e-03,6.719449143748897936e-03,6.689049667651585790e-03
2.343749999999999722e-01,1.653150477802996926e-02,9.915820764383338412e-03,-1.415667799764036040e-03,1.511583697826593409e-02,8.500152964619301504e-03,1.507704816613590799e-02,1.516942393686015501e-02,1.501717401747593508e-02
3.125000000000000000e-01,2.945960926542428096e-02,1.769138595212311343e-02,-2.532736428171826829e-03,2.692687283725245240e-02,1.515864952395128661e-02,2.680364118424162154e-02,2.708910591647733374e-02,2.661518183001172072e-02
3.906250000000000000e-01,4.617298158665404662e-02,2.777085891140021121e-02,-3.989191169203243868e-03,4.218379041745080188e-02,2.378166774219696647e-02,4.188068935037753127e-02,4.255746236464381937e-02,4.142308031232976723e-02
4.687499999999999445e-01,6.674263490800040610e-02,4.021753598362661636e-02,-5.799604524393051422e-03,6.094303038360735641e-02,3.441793145923356667e-02,6.030819266454363198e-02,6.166111448405572210e-02,5.936581826671648299e-02
5.468750000000000000e-01,9.125866392897434565e-02,5.511034971665189353e-02,-7.981056868800972398e-03,8.327760706017336978e-02,4.712929284785091766e-02,8.208615112673994796e-02,8.448397740853949567e-02,8.035498336396065810e-02
6.250000000000000000e-01,1.198328249180743432e-01,7.254450158627118173e-02,-1.055259707757010695e-02,1.092802278405042293e-01,6.199190450870107477e-02,1.072145647369664861e-01,1.110955626384211858e-01,1.042908842785773421e-01
7.031250000000000000e-01,1.526015448782139239e-01,9.263177798304988997e-02,-1.353450601460576969e-02,1.390670388636081611e-01,7.909727196844412722e-02,1.356934334952231980e-01,1.415385601086945888e-01,1.310648431251049129e-01
7.812500000000000000e-01,1.897285822398925570e-01,1.155001339108828323e-01,-1.694730504729407075e-02,1.727812771925984758e-01,9.855282886358876504e-02,1.675227574015101251e-01,1.758164197181971700e-01,1.605613732134746896e-01
8.593750000000000000e-01,2.314057455431504651e-01,1.412918753618540024e-01,-2.081043670399077353e-02,2.105953088391596950e-01,1.204814386578632324e-01,2.027025364558272258e-01,2.138817160910247983e-01,1.926597721619199288e-01
9.374999999999998890e-01,2.778488426990035620e-01,1.701593981419525781e-01,-2.514052743135846216e-02,2.527083152676450895e-01,1.450188707105941055e-01,2.412327706581745279e-01,2.556260913974871540e-01,2.272345776071163503e-01
1.015625000000000000e+00,3.292842683689481964e-01,2.022569073176133103e-01,-2.994912361601409501e-02,2.993351447529341014e-01,1.723077837015992153e-01,2.831134600085521424e-01,3.008725211726832605e-01,2.641543796004463540e-01
1.093750000000000000e+00,3.859192959853943172e-01,2.377258071198232736e-01,-3.523977283202522209e-02,3.506795231533690882e-01,2.024860342877980446e-01,3.283446045069597918e-01,3.493705368201618922e-01,3.032787135704991810e-01
1.171875000000000000e+00,4.478864348156064712e-01,2.766704980660843471e-01,-4.100430508588056439e-02,4.068821297297259276e-01,2.356661929802037758e-01,3.769262041533978369e-01,4.007948730535084159e-01,3.444531744647233440e-01
1.250000000000000000e+00,5.151500055913716958e-01,3.191202025519446761e-01,-4.721815792185843352e-02,4.679318476695132345e-01,2.719020446300862703e-01,4.288582589478659446e-01,4.547478023600278751e-01,3.875034218143783571e-01
1.328125000000000000e+00,5.873635833781188920e-01,3.649714003931961992e-01,-5.383459158203367234e-02,5.335289917960852613e-01,3.111368088111625130e-01,4.841407688903641704e-01,5.107651892700846297e-01,4.322292343295365269e-01
1.406250000000000000e+00,6.636745128085969059e-01,4.139051067692272046e-01,-6.077766663450210466e-02,6.028968461740947804e-01,3.531274401347250791e-01,5.427737339808927919e-01,5.683260641249131551e-01,4.784000365328026083e-01
1.484375000000000000e+00,7.424928779224456710e-01,4.652748542549990374e-01,-6.793392189263144920e-02,6.745589560298141940e-01,3.973409323623675604e-01,6.047571542194514205e-01,6.268652979557547411e-01,5.257532232683763684e-01
1.562500000000000000e+00,8.212827560415688621e-01,5.179671175428333108e-01,-7.514281548969353741e-02,7.461399405518753802e-01,4.428243020531397733e-01,6.700910296060405003e-01,6.857887734114945788e-01,5.739961389136225556e-01
1.640625000000000000e+00,8.964883804442552728e-01,5.702492465248316655e-01,-8.218620137668643244e-02,8.143021790675688543e-01,4.880630451481452470e-01,7.387753601406596982e-01,7.444903040736350341e-01,6.228118585214489356e-01
1.718750000000000000e+00,9.637460767243255511e-01,6.196435599515252024e-01,-8.877743266287307922e-02,8.749686440614524718e-01,5.308661272886521232e-01,8.108101458233089032e-01,8.023694641936638394e-01,6.718681889526022522e-01
1.796875000000000000e+00,1.018493144767395053e+00,6.628984698119350094e-01,-9.455112972882621925e-02,9.239420150385688757e-01,5.683473400831088318e-01,8.861953866539883373e-01,8.588494564309558932e-01,7.208287712019549875e-01
1.874999999999999778e+00,1.056916079222163463e+00,6.961550006516031841e-01,-9.905521932118700745e-02,9.578608599009764690e-01,5.970997813304161905e-01,9.649310826326981116e-01,9.133941656718274071e-01,7.693649385105330030e-01
1.953125000000000000e+00,1.076932318706728786e+00,7.153988187604555238e-01,-1.017474886731343509e-01,9.751848300335944630e-01,6.136513300873212007e-01,1.047017233759438337e+00,9.655236176984742791e-01,8.171670645512271181e-01
2.031250000000000000e+00,1.078761642312404456e+00,7.172048343723357311e-01,-1.019994787315535445e-01,9.767621635808508840e-01,6.152053556407821588e-01,1.132453840034208570e+00,1.014827174466065740e+00,8.639544273775036087e-01
2.109375000000000000e+00,1.064795236362487518e+00,6.996170086477137007e-01,-9.911083758716779379e-02,9.656843987753197522e-01,6.005061710605459346e-01,1.221240901457008698e+00,1.060973942945262261e+00,9.094829919564050291e-01
2.187500000000000000e+00,1.038845831711979972e+00,6.628387173715242220e-01,-9.233695142660443278e-02,9.465088802853754979e-01,5.705017659449197476e-01,1.313378418027839167e+00,1.103720040540338454e+00,9.535508710769637908e-01
