q/kF,G-,G- error
0.078125,0.000732,0.000047
0.15625,0.002963,0.000244
0.234375,0.006584,0.000451
0.312499,0.011833,0.000977
0.390624,0.018531,0.001373
0.46875,0.026833,0.001936
0.546875,0.036876,0.003164
0.625001,0.04788,0.003325
0.703126,0.061093,0.004795
0.781249,0.075382,0.005069
0.859374,0.091862,0.006501
0.9375,0.110022,0.007636
1.015625,0.129428,0.007611
1.09375,0.150627,0.009933
1.171876,0.174763,0.01223
1.250001,0.200658,0.014542
1.328124,0.226346,0.01325
1.406249,0.254465,0.01331
1.484375,0.280599,0.011178
1.5625,0.315003,0.017955
1.640625,0.339058,0.012241
1.718751,0.374441,0.0182
1.796876,0.395861,0.011138
1.874999,0.413529,0.015546
1.953124,0.406646,0.060017
2.03125,0.384379,0.073601
2.109375,0.381385,0.040523
2.187501,0.37294,0.062043
2.265626,0.305727,0.108696
2.343749,0.335037,0.115431
