# q/kF, Gs(q) RA, Ga(q) RA, Gn(q) RA, G+(q) RA, G-(q) RA,G+ ALDA, G+(q) Corradini, G+(q) rMCP07
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.812499999999998612e-02,1.873206914644105553e-03,1.008921423459227616e-03,-1.609093186383311208e-04,1.712297596005774459e-03,8.480121048208965218e-04,1.711810224103613729e-03,1.712615292638784096e-03,1.711145303984232605e-03
1.562499999999999722e-01,7.500460766462583098e-03,4.041856129633654426e-03,-6.454159263292181788e-04,6.855044840133365028e-03,3.396440203304436356e-03,6.847240896414454915e-03,6.860002022016598207e-03,6.836617044466952384e-03
2.343750000000000000e-01,1.690475167510625820e-02,9.117408248068231344e-03,-1.458822815603252280e-03,1.544592885950300636e-02,7.658585432464979498e-03,1.540629201693252681e-02,1.546988534898937652e-02,1.535263755448763173e-02
3.124999999999999445e-01,3.012474952503916767e-02,1.626688912484729188e-02,-2.609855224006376716e-03,2.751489430103279052e-02,1.365703390084091473e-02,2.738896358565781966e-02,2.758549856564152317e-02,2.721997955424107496e-02
3.906250000000000000e-01,4.721549667692383906e-02,2.553475400664955569e-02,-4.110479600148518771e-03,4.310501707677531769e-02,2.142427440650103779e-02,4.279525560259035688e-02,4.326118215707112219e-02,4.238462962879913781e-02
4.687500000000000000e-01,6.824965572138995407e-02,3.697916327086930161e-02,-5.975626675759881587e-03,6.227402904563007074e-02,3.100353659510941828e-02,6.162516806773010725e-02,6.255636625176241861e-02,6.077881103092302312e-02
5.468750000000000000e-01,9.331947244025050325e-02,5.067259314752985827e-02,-8.222793608560824072e-03,8.509667883168968439e-02,4.244979953896903246e-02,8.387870098107708117e-02,8.552811964627084207e-02,8.232239954289723161e-02
6.249999999999998890e-01,1.225394784771102197e-01,6.670236018872285899e-02,-1.087149077094622454e-02,1.116679877061639986e-01,5.583086941777663792e-02,1.095558543426312786e-01,1.122225422868816797e-01,1.069246957960541949e-01
7.031250000000000000e-01,1.560496613793920795e-01,8.517082680053882082e-02,-1.394248768569928548e-02,1.421071736936928009e-01,7.122833911483952840e-02,1.386566281523927413e-01,1.426653813138459292e-01,1.344864018742007172e-01
7.812500000000000000e-01,1.940183038161361617e-01,1.061949055034886180e-01,-1.745679951893130966e-02,1.765615042972048521e-01,8.873810598455730836e-02,1.711810224103614275e-01,1.768523494883619263e-01,1.649015024518860895e-01
8.593750000000000000e-01,2.366428478343684250e-01,1.299042548713810474e-01,-2.143434020317180194e-02,2.152085076311966161e-01,1.084699146682092386e-01,2.071290371165372957e-01,2.147397031946483570e-01,1.980586039689242739e-01
9.375000000000000000e-01,2.841458592273700123e-01,1.564372310585086245e-01,-2.589215066828363943e-02,2.582537085590863590e-01,1.305450803902249990e-01,2.465006722709204290e-01,2.562356809312836825e-01,2.338411929060454364e-01
1.015625000000000000e+00,3.367613330798555626e-01,1.859331902133234959e-01,-3.084209119750790443e-02,3.059192418823476478e-01,1.550910990158155811e-01,2.892959278735107165e-01,3.011934022320360560e-01,2.721263015524901796e-01
1.093750000000000000e+00,3.947041475914389030e-01,2.185190938015905970e-01,-3.628786669272054261e-02,3.584162808987183535e-01,1.822312271088700475e-01,3.355148039243083247e-01,3.494057771325298489e-01,3.127812719447194967e-01
1.171875000000000000e+00,4.581126609249943638e-01,2.542875342566760510e-01,-4.222123486145384214e-02,4.158914260635405147e-01,2.120662993952222020e-01,3.851573004233131980e-01,4.006028797339198366e-01,3.556586980334285886e-01
1.249999999999999778e+00,5.269521631505390546e-01,2.932623174818794198e-01,-4.861723403732800403e-02,4.783349291132110714e-01,2.446450834445514089e-01,4.382234173705251146e-01,4.544521037580216971e-01,4.005901418613502796e-01
1.328125000000000000e+00,6.008674557698515661e-01,3.353468077890368049e-01,-5.542826614475000052e-02,5.454391896251015170e-01,2.799185416442868113e-01,4.947131547659444073e-01,5.105612549679088286e-01,4.473797230424258475e-01
1.406250000000000000e+00,6.789808051993549975e-01,3.802498703830037297e-01,-6.257689150016026991e-02,6.164039136991947831e-01,3.176729788828434597e-01,5.546265126095709652e-01,5.684845589478023653e-01,4.957989927619506632e-01
1.484375000000000000e+00,7.596537461282458770e-01,4.273855125570621971e-01,-6.994725070827824409e-02,6.897064954199676468e-01,3.574382618487839669e-01,6.179634909014046773e-01,6.277313874855560138e-01,5.455844774452668355e-01
1.562500000000000000e+00,8.402734671040515968e-01,4.757471467885840966e-01,-7.737514530381769950e-02,7.628983218002338695e-01,3.983720014847663693e-01,6.847240896414457101e-01,6.877773461202003613e-01,5.964388755689901123e-01
1.640625000000000000e+00,9.171812588836468771e-01,5.237685583959104108e-01,-8.463700847191121812e-02,8.325442504117356313e-01,4.391315499239991649e-01,7.549083088296936195e-01,7.480772305483145423e-01,6.480362163088000393e-01
1.718750000000000000e+00,9.858988598312005136e-01,5.692038244037844752e-01,-9.143830773482572449e-02,8.944605520963747614e-01,4.777655166689587229e-01,8.285161484661491826e-01,8.080792588450347314e-01,7.000305450020104514e-01
1.796875000000000000e+00,1.041764366025688782e+00,6.090869471681282787e-01,-9.740236519479948674e-02,9.443620008308892810e-01,5.116845819733287781e-01,9.055476085508119555e-01,8.672399249110706032e-01,7.520671045216025252e-01
1.875000000000000000e+00,1.080911390909681025e+00,6.398587047619073154e-01,-1.020611604114381316e-01,9.788502304982429347e-01,5.377975443504692254e-01,9.860026890836817159e-01,9.250387980119464393e-01,8.037946746906834417e-01
1.953125000000000000e+00,1.101269416747423957e+00,6.577475433765832546e-01,-1.048503563432933716e-01,9.964190604041305299e-01,5.528971870332899385e-01,1.069881390064758797e+00,9.809926125333736646e-01,8.548777382300213334e-01
2.031250000000000000e+00,1.103128960556204241e+00,6.594274906932324765e-01,-1.051114475334774256e-01,9.980175130227267877e-01,5.543160431597550231e-01,1.157183711494042866e+00,1.034668047374609046e+00,9.050073870023436218e-01
2.109375000000000000e+00,1.088982632538709527e+00,6.428349224702082365e-01,-1.021043586581491386e-01,9.868782738805603749e-01,5.407305638120590841e-01,1.247909653371534588e+00,1.085692679962050544e+00,9.539102463641184748e-01
2.187500000000000000e+00,1.062742325410502842e+00,6.078641897971861496e-01,-9.503370072481355513e-02,9.677086246856893004e-01,5.128304890723726084e-01,1.342059215697233299e+00,1.133763708503756407e+00,1.001355066023153828e+00
2.265625000000000000e+00,1.028734285320669350e+00,5.566111229874312061e-01,-8.309084333831569247e-02,9.456434419823536164e-01,4.735202796491155275e-01,1.439632398471139441e+00,1.178654159849758187e+00,1.047156929771349221e+00
2.343750000000000000e+00,9.908776177968114940e-01,4.929947117735963280e-01,-6.551168318551570113e-02,9.253659346112957929e-01,4.274830285880806269e-01,1.540629201693252792e+00,1.220216431002990376e+00,1.091179245023333522e+00
2.421875000000000000e+00,9.522376681403754706e-01,4.218914786985944465e-01,-4.164648080144615905e-02,9.105911873389292976e-01,3.802449978971482736e-01,1.645049625363573131e+00,1.258383142103684404e+00,1.133333790509092776e+00
2.499999999999999556e+00,9.149261226395140056e-01,3.481448494334523081e-01,-1.103394266516371201e-02,9.038921799743503405e-01,3.371109067682885874e-01,1.752893669482100458e+00,1.293165400527831688e+00,1.173579147913068610e+00
